group,agestrat,smoothed_lo_SD,smoothed_median,smoothed_hi_SD,ES
1,0,1.951245,2.168255,2.803191,NA
2,2,2.089819,2.698801,2.808174,0.21986009946304716
3,4,2.228392,3.389152,2.813157,0.2778200444245822
4,6,2.366966,4.228085,2.818141,0.32813580509601575
5,8,2.50554,5.204382,2.823124,0.37143552013830233
6,10,2.644114,6.306821,2.828107,0.40827728468546803
7,12,2.782688,7.52418,2.83309,0.4391627380197275
8,14,2.921262,8.845241,2.838074,0.4645442674244845
9,16,3.0598359999999998,10.25878,2.843057,0.4848263569511454
10,18,3.19841,11.753579,2.84804,0.5003786400641443
11,20,3.336984,13.318416,2.853024,0.5115326673780922
12,22,3.475557,14.942069,2.858007,0.5185910217947406
13,24,3.614131,16.61332,2.86299,0.5218303314772009
14,28,3.752705,18.320945,2.867973,0.5214998336743438
15,32,3.891279,20.053726,2.872957,0.5178310447119803
16,36,4.029853,21.800441,2.87794,0.5110331465797792
17,42,4.168427,23.549869,2.882923,0.501299542529223
18,48,4.307001,25.290789,2.887907,0.488807657421338
19,54,4.445575,27.011981,2.89289,0.47372127585248064
20,60,4.584149,28.702224,2.897873,0.45619094703163326
21,66,4.722722,30.350297,2.902856,0.4363560062485107
22,72,4.861296,31.944979,2.90784,0.41434533957564884
23,78,4.99987,33.475049,2.912823,0.39027845540210865
24,84,5.138444,34.929288,2.917806,0.36426681465391947
25,96,5.277018,36.296473,2.92279,0.33641243159934575
26,108,5.415592,37.565384,2.927773,0.3068120003339148
27,120,5.554166,38.7248,2.932756,0.2755546592877472
28,132,5.69274,39.763501,2.93774,0.2427239834643122
29,156,5.831313,40.670266,2.942723,0.20839763656742882
30,204,5.969887,41,2.947706,0.0745514163788992
