rawscore,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
0,59,54,49,44,40,40,40,40,40,40,40,40,40,40,40,40,40,40
1,61,57,52,47,42,40,40,40,40,40,40,40,40,40,40,40,40,40
2,64,59,54,49,44,40,40,40,40,40,40,40,40,40,40,40,40,40
3,66,61,57,52,47,42,40,40,40,40,40,40,40,40,40,40,40,40
4,68,64,59,54,50,45,40,40,40,40,40,40,40,40,40,40,40,40
5,71,66,62,57,52,47,42,40,40,40,40,40,40,40,40,40,40,40
6,73,69,64,60,55,50,45,40,40,40,40,40,40,40,40,40,40,40
7,75,71,67,62,58,53,48,43,40,40,40,40,40,40,40,40,40,40
8,78,74,69,65,60,56,51,46,41,40,40,40,40,40,40,40,40,40
9,80,76,72,67,63,58,54,49,44,40,40,40,40,40,40,40,40,40
10,82,78,74,70,66,61,57,52,47,42,40,40,40,40,40,40,40,40
11,85,81,77,73,68,64,60,55,50,46,41,40,40,40,40,40,40,40
12,87,83,79,75,71,67,63,58,54,49,44,40,40,40,40,40,40,40
13,89,86,82,78,74,70,65,61,57,52,48,43,40,40,40,40,40,40
14,92,88,84,80,76,72,68,64,60,56,51,47,42,40,40,40,40,40
15,94,90,87,83,79,75,71,67,63,59,55,50,46,41,40,40,40,40
16,96,93,89,85,82,78,74,70,66,62,58,54,49,45,40,40,40,40
17,99,95,92,88,84,81,77,73,69,65,61,57,53,49,44,40,40,40
18,102,98,94,91,87,84,80,76,73,69,65,61,57,53,49,44,40,40
19,106,100,97,93,90,86,83,79,76,72,68,65,61,57,53,49,45,40
20,111,105,99,96,92,89,86,82,79,75,72,68,65,61,57,53,50,46
21,115,109,103,98,95,92,89,85,82,79,75,72,68,65,62,58,54,51
22,120,114,108,102,98,95,91,88,85,82,79,76,72,69,66,63,59,56
23,124,119,113,107,101,97,94,91,88,85,82,79,76,73,70,67,64,61
24,128,123,118,112,107,100,97,94,91,88,86,83,80,77,74,72,69,66
25,133,128,123,118,112,106,100,97,95,92,89,86,84,81,79,76,74,72
26,137,132,128,123,118,112,107,101,98,95,93,90,88,85,83,81,79,77
27,141,137,133,128,123,118,113,108,102,98,96,94,91,89,87,85,84,82
28,146,142,137,133,129,124,120,115,110,104,99,97,95,93,91,90,88,87
29,150,146,142,138,134,130,126,122,117,113,108,103,99,97,96,94,93,92
30,154,151,147,144,140,136,132,129,125,121,117,113,109,105,100,99,98,98
31,159,155,152,149,145,142,139,136,133,130,127,124,121,119,115,111,109,108
